Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
141,AEG,8.31,0.25,1.0,0.9684,0.2409,0.6165,-60.92,0.44,8.23
142,PM,170.99,13.44,0.64,0.7417,6.4265,16.897,-61.97,0.49,171.11
143,ACWI,155.38,4.97,0.5,0.9959,2.4771,6.5758,-62.33,0.36,153.93
144,VEA,70.83,1.5,0.77,0.9894,1.1411,3.0391,-62.45,0.29,69.67
145,ENB,53.59,1.35,0.99,0.891,1.1948,3.2049,-62.72,0.35,53.99
146,VRT,339.97,25.56,0.71,0.9351,16.9986,45.9238,-62.99,0.39,340.01
147,NVO,46.07,5.61,0.6,0.2148,0.7207,1.9749,-63.51,0.43,45.8
148,MSCI,585.42,18.47,0.9,0.7287,12.0529,33.6536,-64.19,0.49,588.37
149,ING,30.12,1.22,0.74,0.9756,0.8796,2.4713,-64.41,0.35,29.78
150,TSLA,428.35,35.85,1.0,0.7523,26.9008,77.1852,-65.15,0.47,411.79
151,IWM,284.17,6.82,0.83,0.971,5.4811,15.8724,-65.47,0.39,282.26
152,IRM,128.84,8.31,0.49,0.9182,3.7114,11.0816,-66.51,0.42,126.81
153,VTV,207.04,2.79,0.89,0.9786,2.4274,7.3279,-66.87,0.26,205.91
154,KLAC,1869.19,63.87,1.25,0.9496,75.9252,238.625,-68.18,0.41,1763.25
155,IVZ,27.59,2.64,0.39,0.9022,0.92,2.9154,-68.44,0.24,26.83
156,GD,346.53,14.39,0.47,0.8403,5.6799,18.4625,-69.24,0.38,347.76
157,SBUX,104.93,5.98,0.61,0.7704,2.8218,9.2224,-69.4,0.34,104.26
158,SWK,81.07,5.95,0.47,0.7243,2.0115,6.6208,-69.62,0.41,80.2
159,MTCH,36.96,0.85,1.01,0.8499,0.7323,2.4726,-70.38,0.34,35.83
160,VTIP,50.4,0.22,0.67,0.9836,0.1442,0.5019,-71.27,-0.02,50.29
161,KO,78.42,2.94,0.64,0.8642,1.6255,5.7078,-71.52,0.44,78.43
162,MSTU,8.86,1.23,0.72,0.0441,0.0388,0.1367,-71.59,0.43,8.21
163,AMH,32.03,0.93,0.9,0.446,0.3731,1.3337,-72.03,0.45,32.42
164,LYV,163.28,7.19,0.75,0.8081,4.344,15.6604,-72.26,0.2,165.75
165,CL,87.55,4.02,0.64,0.5547,1.4193,5.2503,-72.97,0.45,87.36
166,USO,133.59,12.27,0.51,0.8017,4.9688,18.4134,-73.02,0.12,134.97
167,CLSK,14.2,2.15,0.78,0.4516,0.7531,2.8001,-73.1,0.28,13.98
168,OKTA,83.9,8.14,1.02,0.3272,2.7128,10.2967,-73.65,0.25,80.88
169,CI,288.06,8.14,1.0,0.4835,3.9251,15.144,-74.08,0.38,284.04
170,FANG,188.7,5.25,1.05,0.7507,4.1305,15.9935,-74.17,0.37,190.45
171,DKNG,25.52,2.63,2.29,0.1526,0.9194,3.5866,-74.37,0.14,25.22
172,EL,86.2,8.35,0.62,0.524,2.7282,10.7135,-74.54,0.34,85.29
173,NBIS,177.05,17.89,0.79,0.884,12.465,50.3823,-75.26,-0.08,184.77
174,MARA,12.94,1.31,1.04,0.374,0.5087,2.0685,-75.41,0.16,12.7
175,MFC,40.02,1.46,0.55,0.9954,0.7942,3.243,-75.51,0.18,39.56
176,XLP,84.18,1.79,0.91,0.6603,1.0796,4.4813,-75.91,0.29,83.98
177,CCI,90.57,3.01,1.14,0.4084,1.4012,5.8216,-75.93,0.33,91.07
178,RY,181.68,2.89,1.0,0.9867,2.8609,11.9145,-75.99,0.12,181.35
179,ENPH,36.45,2.57,0.52,0.2371,0.3163,1.3391,-76.38,0.18,35.47
180,CSX,44.83,1.12,0.68,0.917,0.7032,3.0769,-77.15,0.13,44.46
181,ARR,17.63,0.19,1.58,0.8814,0.2644,1.1646,-77.3,0.19,17.55
182,BTI,58.28,1.22,1.08,0.8565,1.124,4.9734,-77.4,0.09,58.08
183,TSLL,15.62,2.33,1.18,0.4523,1.2411,5.5129,-77.49,0.2,14.47
184,UNP,264.65,12.47,0.4,0.8645,4.2778,19.1014,-77.61,0.25,264.89
185,SU,64.01,2.35,0.69,0.8433,1.3702,6.2282,-78.0,0.12,63.74
186,FIZZ,35.14,1.27,0.91,0.2356,0.2728,1.3097,-79.17,0.28,35.16
187,WMT,130.43,2.51,0.92,0.928,2.15,10.4966,-79.52,0.02,130.2
188,LYB,71.76,3.18,0.42,0.7232,0.9587,4.7016,-79.61,0.09,71.51
189,DBA,27.97,0.98,0.33,0.8995,0.2925,1.4537,-79.88,0.11,27.8
190,CRDO,188.51,13.98,0.63,0.8631,7.5451,38.1912,-80.24,0.08,188.29
191,BLK,1084.83,36.41,0.56,0.7273,14.7032,75.4976,-80.52,0.11,1067.74
192,CIFR,20.55,1.26,0.9,0.7899,0.8962,4.6983,-80.93,0.12,20.68
193,SEDG,41.3,1.48,0.97,0.7088,1.0205,5.3688,-80.99,0.13,38.61
194,DEO,84.3,2.14,0.79,0.2622,0.4435,2.4188,-81.66,0.15,83.43
195,API,4.28,0.4,1.36,0.3931,0.2145,1.1775,-81.78,-0.02,3.98
196,APO,133.2,5.87,1.06,0.4658,2.9072,16.1699,-82.02,0.14,127.79
197,AGNC,10.86,0.21,0.86,0.8371,0.1498,0.8346,-82.05,0.09,10.72
198,MBLY,9.19,1.15,0.6,0.1984,0.1362,0.7695,-82.3,0.16,8.87
199,XYZ,74.85,0.96,2.21,0.6118,1.2988,7.3585,-82.35,0.07,70.14
200,SJM,99.25,3.11,0.7,0.3532,0.7726,4.4202,-82.52,0.09,99.44
201,E,53.43,0.88,1.31,0.866,0.9989,5.727,-82.56,-0.01,52.59
202,ATOM,8.41,2.07,0.35,0.6619,0.4797,2.9875,-83.94,-0.03,8.1
203,LLY,948.45,28.55,0.94,0.6411,17.177,106.9243,-83.94,0.24,974.96
204,CEG,303.63,16.07,1.08,0.5698,9.9189,65.5827,-84.88,0.09,311.28
205,HRTX,1.21,0.16,0.78,0.2423,0.0301,0.1997,-84.94,0.08,1.24
206,CNQ,44.53,1.23,0.69,0.76,0.6434,4.3237,-85.12,0.02,44.74
207,HAS,97.78,2.4,0.64,0.8563,1.3143,9.2773,-85.83,-0.03,97.39
208,MS,193.09,3.41,0.68,0.9832,2.2804,16.6189,-86.28,-0.1,190.17
209,PUK,31.21,0.53,0.66,0.8696,0.3019,2.2157,-86.37,-0.12,31.63
210,DAL,73.33,2.12,0.58,0.9319,1.1407,8.3802,-86.39,0.02,73.11
211,LTC,39.12,0.24,1.46,0.8824,0.3106,2.3756,-86.92,0.04,38.62
212,PTON,5.69,0.51,1.18,0.3091,0.1866,1.4361,-87.01,0.02,5.66
213,NTNX,46.0,5.41,1.0,0.243,1.3195,10.1727,-87.03,0.02,45.93
214,COST,1008.79,12.4,1.01,0.7293,9.1094,70.276,-87.04,0.07,1012.06
215,BILL,41.83,2.2,3.45,0.1124,0.8522,6.617,-87.12,0.04,37.66
216,HNST,3.64,0.17,1.33,0.3316,0.0751,0.5894,-87.25,-0.04,3.73
217,ZS,152.13,17.33,1.3,0.1687,3.8143,30.1858,-87.36,0.08,152.79
218,BOX,25.72,1.78,0.89,0.2509,0.3992,3.2883,-87.86,-0.01,25.69
219,ADP,212.99,10.6,0.92,0.1858,1.8061,14.9453,-87.92,0.09,214.09
220,BMO,152.9,0.75,2.07,0.9576,1.4806,12.2892,-87.95,-0.18,152.48
221,VIG,228.06,0.73,1.27,0.965,0.8952,7.8604,-88.61,-0.08,228.11
222,EOSE,8.01,0.85,2.14,0.2942,0.5361,4.9981,-89.27,-0.01,6.36
223,LAC,5.57,0.59,0.83,0.3971,0.1955,1.8332,-89.34,-0.1,5.66
224,SLB,53.27,1.07,0.56,0.8545,0.5134,4.8435,-89.4,-0.08,53.0
225,WEN,7.3,0.17,2.41,0.1078,0.0442,0.4194,-89.46,0.01,6.95
226,WMB,71.96,1.05,0.78,0.8016,0.656,6.4513,-89.83,-0.16,72.95
227,BLOK,64.39,3.15,0.43,0.7521,1.0168,10.1678,-90.0,-0.12,63.82
228,TTWO,220.45,3.6,1.16,0.4795,2.0021,20.0863,-90.03,-0.0,223.5
229,TEAM,91.6,20.12,1.22,0.1318,3.2484,34.086,-90.47,0.05,92.37
230,NEE,93.1,1.09,0.69,0.8544,0.6396,6.7297,-90.5,-0.05,93.32
231,DVN,45.61,0.67,0.85,0.7416,0.423,4.6419,-90.89,-0.09,45.31
232,RDW,11.07,0.86,1.97,0.2845,0.4813,5.4228,-91.12,-0.08,9.2
233,NDAQ,88.91,1.13,0.76,0.6643,0.5674,6.4957,-91.26,-0.07,89.0
234,SKLZ,6.67,2.94,0.12,0.2499,0.0909,1.0433,-91.29,-0.06,6.92
235,ATER,1.1,0.38,0.04,0.196,0.0026,0.0307,-91.4,-0.04,1.22
236,EQNR,36.69,0.68,0.85,0.7093,0.4118,4.88,-91.56,-0.12,36.91
237,PINS,21.27,0.63,1.04,0.2746,0.1798,2.1616,-91.68,-0.03,21.55
238,ORCL,195.95,18.37,0.61,0.3486,3.933,47.6803,-91.75,-0.07,194.59
239,TDUP,4.82,0.54,1.09,0.2729,0.1608,2.0084,-91.99,-0.07,4.92
240,GTLB,25.98,4.32,0.71,0.1307,0.4009,5.0379,-92.04,-0.04,25.92
241,U,28.16,1.63,0.99,0.3485,0.5634,7.084,-92.05,-0.03,26.73
242,NEM,116.51,1.67,0.7,0.8085,0.9477,11.9815,-92.09,-0.18,113.49
243,DIS,108.02,1.72,0.71,0.6452,0.7918,10.3545,-92.35,-0.01,108.66
244,ACAD,22.4,0.31,1.03,0.602,0.1914,2.5595,-92.52,-0.04,22.56
245,PG,146.42,3.01,0.65,0.2822,0.5551,7.6307,-92.73,0.05,146.06
246,XLE,55.7,0.63,0.69,0.7165,0.3111,4.3359,-92.82,-0.21,55.95
